text,label
Stock prices surged after the earnings call.,positive
Company faced a major lawsuit today.,negative
Market remains flat amid economic uncertainty.,neutral
Investors are optimistic about new product line.,positive
Financial reports show declining revenue.,negative
Positive investor sentiment boosts the market.,positive
Major layoffs announced by the company.,negative
Quarterly earnings beat expectations.,positive
Product recall damages brand reputation.,negative
Stable growth reported for Q3.,neutral
